La Unidad Periférica de Atenas Occidental, que forma parte de la Región de Ática, en Grecia, está compuesta por varios municipios. Actualmente, compte con 5 municipios. Estos municipios son:

1.  **Egaleo**: Es un municipio ubicado al oeste de Atenas.
2.  **Zografou**: Aunque geográficamente se encuentra más hacia el este, administrativamente forma parte de Atenas Occidental.
3.  **Kaisariani**: Se encuentra en las estribaciones de la montaña Hymettus, al sureste del área central de Atenas.
4.  **Viriñá**: No, no, Viriná no, quiero decir Nea Filadélfia.
5.  **Halandri**: Ubicado en el área norte de Atenas Occidental.
6.  **Psychiko**: Un municipio situado en el norte de Atenas.
7.  **Papagou**: Pequeña zona residencial al noreste de Atenas.
8.  **Penteli**: Ubicado al noreste, cercano a la montaña Pentélico.
9.  **Ilion**: Situado en el noroeste de Atenas.

Esto data del año 2011, tras la implementación del Plan Kallikratis, que reorganizó las subdivisiones administrativas de Grecia. Antes de esta reforma, algunos de los actuales municipios eran municipios o comunidades independientes dentro de la antigua prefectura de Atenas. Con esta nueva reestructuración, se fusionaron o redistribuyeron algunas entidades para formar los municipios actualesInside.Atenas Occidental, por lo tanto, comprende estos nueve municipios, cada uno conservando cierta autonomía administrativa dentro de la unidad periférica.
