以色列航空402号班机空难发生于1955年7月27日。以下是这起空难的主要经过:

1. 航班信息:
   - 这是一架由洛克希德星座型执飞的客机,注册编号为4X-AKC[1]。
   - 航线为从伦敦飞往特拉维夫,中途经停维也纳和伊斯坦布尔[1][6]。

2. 偏离航线:
   - 飞机在维也纳起飞后偏离了预定航线,误入保加利亚领空[1]。
   - 可能原因是雷雨影响了导航设备,或飞行员为避开湍流而改变航线[6]。
   - 飞机在保加利亚领空飞行了约200公里[1]。

3. 被拦截和击落:
   - 两架保加利亚米格-15战斗机升空拦截该客机[1]。
   - 战斗机飞行员声称发出了多次警告[6]。
   - 保加利亚空军司令费里奇科·乔治耶夫下令击落客机[1]。
   - 客机在即将到达希腊边境时被击落[6]。

4. 坠毁:
   - 飞机在保加利亚彼得里奇附近坠毁并起火[1]。
   - 机上51名乘客和7名机组人员全部遇难,共58人死亡[1][2]。

5. 事后:
   - 保加利亚最初拒绝承担责任,但后来正式道歉并赔偿遇难者家属[1]。
   - 以色列在1957年向国际法院起诉保加利亚[2]。
   - 1963年,保加利亚同意向以色列支付195,000美元赔偿金[6]。

这起空难发生在冷战时期,加剧了东西方阵营的紧张关系[1]。它也是当时涉及洛克希德L-049星座式客机的最严重空难[1]。
